"(-0.0239, 0.3588, 0.0285, -0.4626, 0.3188)",[3.3217 1.3666 0.25  ]
"(-0.2587, 0.3191, -0.1008, 0.4289, 0.4696)",[2.683  2.2832 0.25  ]
"(0.366, -0.4871, 0.4432, -0.3361, -0.2173)",[ 3.3509 -1.3114  0.25  ]
"(-0.3044, 0.1079, -0.4918, -0.2419, 0.2674)",[ 3.4697 -0.2001  0.25  ]
"(0.4948, 0.1804, -0.2989, 0.2907, 0.4599)",[3.0526 1.8045 0.25  ]
"(-0.488, 0.2573, -0.323, -0.2037, -0.1125)",[ 3.46  -0.736  0.25 ]
"(0.0922, -0.2662, 0.1106, 0.4443, 0.193)",[3.5413 0.6622 0.25  ]
"(0.291, -0.4579, 0.4916, -0.448, 0.3019)",[3.6148 0.236  0.25  ]
"(0.3199, 0.3491, -0.4405, -0.1808, -0.3206)",[ 3.4688 -1.0012  0.25  ]
"(-0.3918, 0.4203, -0.1212, 0.496, -0.1988)",[3.5529 0.5279 0.25  ]
"(0.0293, -0.097, -0.4979, -0.2651, 0.2535)",[ 3.442  -0.5711  0.25  ]
"(0.0853, -0.2678, -0.0876, 0.4427, 0.192)",[3.6208 0.3207 0.25  ]
"(0.05, 0.4387, -0.1405, 0.2089, -0.111)",[3.5268 0.8184 0.25  ]
"(0.3526, -0.4589, 0.2486, -0.4447, 0.1022)",[ 3.5074 -0.798   0.25  ]
"(0.3425, -0.4831, 0.3577, -0.1801, -0.2736)",[ 3.3241 -1.3936  0.25  ]
"(-0.1929, 0.3702, 0.4005, -0.2809, -0.3004)",[3.5864 0.2444 0.25  ]
"(-0.124, 0.2077, -0.1219, 0.1476, -0.4832)",[ 3.4574 -1.2226  0.25  ]
"(-0.1221, -0.0145, -0.0142, 0.4557, -0.3648)",[ 3.546  -0.7989  0.25  ]
"(-0.1431, 0.155, 0.4354, 0.4342, 0.4946)",[2.0657 2.5612 0.25  ]
"(0.4275, 0.3624, -0.1774, -0.287, -0.3078)",[ 3.5985 -0.5497  0.25  ]
"(-0.2166, -0.3328, -0.1117, 0.1308, 0.3465)",[3.6503 0.1468 0.25  ]
"(0.1257, 0.3121, -0.2677, 0.063, 0.1019)",[3.5899 0.7579 0.25  ]
"(-0.1184, 0.1106, -0.3275, -0.1044, -0.5003)",[ 2.9897 -1.954   0.25  ]
"(0.458, 0.3746, -0.0965, -0.3492, 0.1153)",[3.5235 0.859  0.25  ]
"(-0.3981, -0.0787, 0.2213, -0.2183, 0.2109)",[3.6206 0.3955 0.25  ]
"(-0.1574, 0.1448, 0.424, 0.0578, 0.4853)",[2.5151 2.4023 0.25  ]
"(0.4002, -0.3231, -0.4913, 0.0497, -0.2137)",[ 2.8693 -1.9451  0.25  ]
"(-0.1949, -0.0531, -0.3944, -0.4885, 0.3479)",[ 3.3738 -0.3423  0.25  ]
"(-0.3317, 0.4552, 0.2662, 0.4025, -0.1654)",[3.1815 1.3011 0.25  ]
"(-0.1535, -0.2643, 0.255, 0.0634, 0.1058)",[3.6796 0.1182 0.25  ]
"(-0.3864, -0.4926, -0.4415, 0.2209, -0.2632)",[ 2.4126 -2.3462  0.25  ]
"(-0.2346, 0.3081, -0.2224, -0.0735, -0.3417)",[ 3.5258 -0.9291  0.25  ]
"(-0.1539, 0.1453, -0.0533, 0.0553, 0.0856)",[3.641  0.5982 0.25  ]
"(-0.1482, 0.2325, -0.1391, 0.0676, -0.1067)",[ 3.689  -0.0832  0.25  ]
"(0.007, -0.3939, -0.3204, -0.0241, -0.4932)",[ 2.1373 -2.6541  0.25  ]
"(-0.1946, -0.037, 0.1739, 0.0898, 0.2725)",[3.4991 1.1006 0.25  ]
"(0.2674, 0.0415, -0.2892, -0.3476, 0.2819)",[3.6003 0.2411 0.25  ]
"(0.3327, -0.0512, -0.2525, 0.2256, 0.0001)",[ 3.6483 -0.1575  0.25  ]
"(-0.3165, -0.4372, -0.5059, 0.4548, 0.2523)",[ 3.4262 -0.7832  0.25  ]
"(-0.0293, 0.4079, 0.1953, 0.1026, 0.4992)",[2.2775 2.5906 0.25  ]
"(-0.1898, -0.0566, -0.3933, -0.4908, -0.2282)",[ 2.7226 -1.8887  0.25  ]
"(-0.257, 0.3211, -0.4571, 0.4313, 0.4714)",[3.0727 1.8521 0.25  ]
"(-0.1396, 0.1586, -0.1901, -0.0319, 0.0977)",[3.6715 0.234  0.25  ]
"(0.2244, -0.4674, -0.1371, 0.0835, -0.4276)",[ 2.6022 -2.3553  0.25  ]
"(-0.4432, 0.1874, -0.123, 0.3775, 0.1372)",[3.5399 0.8786 0.25  ]
"(0.1864, 0.1348, 0.2579, -0.0159, 0.4256)",[2.848  2.1204 0.25  ]
"(-0.3453, 0.2171, 0.256, -0.2684, -0.1723)",[3.6381 0.013  0.25  ]
"(0.4352, 0.2618, -0.1963, -0.1948, -0.1296)",[ 3.655  -0.1239  0.25  ]
"(-0.2469, -0.3481, 0.0509, 0.325, -0.4872)",[ 3.0012 -1.9729  0.25  ]
"(0.0433, -0.2948, 0.3549, -0.1942, -0.3746)",[ 3.3323 -1.4624  0.25  ]
"(0.0641, 0.4549, 0.2438, 0.2248, -0.0954)",[3.1375 1.4578 0.25  ]
"(-0.3438, 0.4456, 0.2548, -0.0166, -0.1738)",[3.4811 0.8334 0.25  ]
"(0.1283, -0.1052, -0.2755, 0.0566, 0.0922)",[ 3.6536 -0.3129  0.25  ]
"(0.3811, -0.3992, 0.0684, -0.3942, -0.3879)",[ 2.6648 -2.2663  0.25  ]
"(0.39, -0.3436, 0.4055, 0.0632, 0.457)",[3.2422 1.4696 0.25  ]
"(0.3158, 0.2812, -0.2102, -0.0593, -0.2494)",[ 3.6398 -0.4521  0.25  ]
"(0.376, 0.385, 0.4554, 0.186, 0.0045)",[2.6767 1.8744 0.25  ]
"(-0.1093, 0.4372, 0.3848, -0.4275, 0.1884)",[3.0746 1.7281 0.25  ]
"(-0.2984, 0.4367, 0.1661, 0.0549, 0.1272)",[3.1486 1.6632 0.25  ]
"(-0.1233, -0.2869, 0.4234, 0.0539, 0.223)",[3.5618 0.7738 0.25  ]
"(0.3952, -0.0405, -0.3494, 0.2529, 0.4784)",[3.3741 1.2749 0.25  ]
"(-0.0956, -0.1455, 0.5041, -0.4653, 0.1941)",[3.5885 0.5462 0.25  ]
"(-0.1483, 0.3149, -0.2652, 0.0631, 0.1067)",[3.6181 0.623  0.25  ]
"(0.0658, -0.2762, 0.2643, 0.003, 0.0036)",[ 3.6742 -0.1848  0.25  ]
"(-0.0478, 0.1708, -0.1083, 0.2111, -0.319)",[ 3.6358 -0.5645  0.25  ]
"(-0.4483, 0.0864, 0.4359, 0.0748, -0.4132)",[ 3.5753 -0.4367  0.25  ]
"(-0.0165, 0.4241, -0.1165, 0.073, 0.4846)",[2.7312 2.2874 0.25  ]
"(-0.4058, 0.3104, 0.4694, -0.1533, 0.3621)",[2.7292 2.1603 0.25  ]
